epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,661.925,1.36537,0.95092,1.26507,0.99491,0.60467,0.62645,0.34301,1.5827,0.87584,1.26742,0.0018254,0.000608468,0.0018254,0.000608468,0.0018254,0.000608468,0.0018254,0.000608468
31,680.687,1.38062,0.87904,1.29219,0.99491,0.60467,0.62645,0.34301,1.5827,0.87584,1.26742,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174
32,700.403,1.36916,0.87674,1.31071,0.99284,0.60416,0.6221,0.34544,1.56758,0.86134,1.26582,0.00165564,0.00055188,0.00165564,0.00055188,0.00165564,0.00055188,0.00165564,0.00055188
33,717.313,1.42938,0.87705,1.27484,0.99453,0.60267,0.62147,0.3461,1.56567,0.85527,1.26332,0.00157076,0.000523586,0.00157076,0.000523586,0.00157076,0.000523586,0.00157076,0.000523586
34,747.386,1.38464,0.84888,1.2648,0.99621,0.60326,0.62098,0.34081,1.56288,0.84419,1.25989,0.00148587,0.000495291,0.00148587,0.000495291,0.00148587,0.000495291,0.00148587,0.000495291
35,763.089,1.35816,0.86568,1.25773,0.99621,0.60326,0.62098,0.34081,1.56288,0.84419,1.25989,0.00140099,0.000466997,0.00140099,0.000466997,0.00140099,0.000466997,0.00140099,0.000466997
36,779.53,1.37665,0.81466,1.27773,0.997,0.60494,0.62224,0.34463,1.56274,0.82732,1.25613,0.00131611,0.000438703,0.00131611,0.000438703,0.00131611,0.000438703,0.00131611,0.000438703
37,795.09,1.41713,0.90933,1.31673,0.99781,0.60525,0.62176,0.34478,1.56239,0.83007,1.25161,0.00123123,0.000410409,0.00123123,0.000410409,0.00123123,0.000410409,0.00123123,0.000410409
38,811.98,1.32316,0.80195,1.27137,0.99829,0.60579,0.62515,0.34368,1.55265,0.82257,1.24392,0.00114634,0.000382115,0.00114634,0.000382115,0.00114634,0.000382115,0.00114634,0.000382115
39,828.647,1.30899,0.78708,1.26004,0.99829,0.60579,0.62515,0.34368,1.55265,0.82257,1.24392,0.00106146,0.00035382,0.00106146,0.00035382,0.00106146,0.00035382,0.00106146,0.00035382
40,847.573,1.32845,0.78713,1.23268,0.99845,0.60769,0.62754,0.34799,1.54024,0.81017,1.23655,0.000976579,0.000325526,0.000976579,0.000325526,0.000976579,0.000325526,0.000976579,0.000325526
41,889.726,1.35685,0.88345,1.27538,0.99642,0.60769,0.63199,0.35234,1.5395,0.80676,1.23399,0.000891696,0.000297232,0.000891696,0.000297232,0.000891696,0.000297232,0.000891696,0.000297232
42,903.36,1.31902,0.83458,1.23807,0.99708,0.60769,0.63685,0.36229,1.535,0.81063,1.23297,0.000806813,0.000268938,0.000806813,0.000268938,0.000806813,0.000268938,0.000806813,0.000268938
43,919.715,1.31486,0.83121,1.26039,0.99708,0.60769,0.63685,0.36229,1.535,0.81063,1.23297,0.000721931,0.000240644,0.000721931,0.000240644,0.000721931,0.000240644,0.000721931,0.000240644
44,937.06,1.32594,0.80901,1.22631,0.99481,0.60769,0.65896,0.37834,1.52563,0.81233,1.22942,0.000637048,0.000212349,0.000637048,0.000212349,0.000637048,0.000212349,0.000637048,0.000212349
45,952.833,1.2934,0.80838,1.20154,0.99368,0.60769,0.6833,0.39557,1.52155,0.80842,1.22831,0.000552166,0.000184055,0.000552166,0.000184055,0.000552166,0.000184055,0.000552166,0.000184055
46,974.483,1.31986,0.76534,1.2696,0.9942,0.60769,0.69743,0.40995,1.51528,0.79935,1.2242,0.000467283,0.000155761,0.000467283,0.000155761,0.000467283,0.000155761,0.000467283,0.000155761
47,996.111,1.32541,0.8567,1.24677,0.9942,0.60769,0.69743,0.40995,1.51528,0.79935,1.2242,0.0003824,0.000127467,0.0003824,0.000127467,0.0003824,0.000127467,0.0003824,0.000127467
48,1013.6,1.33558,0.81783,1.26495,0.99394,0.60769,0.6971,0.4093,1.51547,0.79999,1.21978,0.000297518,9.91726e-05,0.000297518,9.91726e-05,0.000297518,9.91726e-05,0.000297518,9.91726e-05
49,1029.28,1.27034,0.77008,1.21411,0.99285,0.60769,0.72458,0.42161,1.50915,0.79343,1.21561,0.000212635,7.08784e-05,0.000212635,7.08784e-05,0.000212635,7.08784e-05,0.000212635,7.08784e-05
50,1048.26,1.25543,0.80592,1.2198,0.99268,0.60769,0.72623,0.42392,1.5096,0.7938,1.21376,0.000127753,4.25842e-05,0.000127753,4.25842e-05,0.000127753,4.25842e-05,0.000127753,4.25842e-05
